MUN;Regiao;UF;Cidade;Nome;Site;Fase;Ano;Gestora;Público;Universidade;Contato;End;CEP
2409332;Sul;RS;Santa Maria;Santa Maria Tecnoparque;https://santamariatecnoparque.com.br/;Implantação;2013;Associação Parque Tecnológico de Santa Maria;0;0;55 - 32200363;Av.Pedro César Saccol, Eixo Secundário 8, nº 555. Distrito Industrial;97030440
1302603;Norte;AM;Manaus;Fundação Desembargador Paulo do Anjos Feitoza;;Indefinido;;;;;;;
3143302;Sudeste;MG;Montes Claros;Parque Tecnológico Regional de Montes Claros - ParqtecMoc;;Indefinido;2007;Fundação Educacional Montes Claros – FEMC ;0;0;38-2101.3033;Rua Carlos Gomes, 110;39400042
3131703;Sudeste;MG;Itabira;Parque Tecnológico de Itabira - ITEC;;Indefinido;;INDESI - Instituto de Desenvolvimento Econômico e Social de Itabira;1;0;31-38346472/3427.1739;;
;Sudeste;MG;;Empresa de Pequisa Agropecuária de Minas Gerais;;Indefinido;;;;;;;
2504009;Nordeste;PB;Campina Grande;Parque Tecnológico de Bodocongó - PaqTcPB;http://www.paqtc.org.br/;Operação;1993;Fundação Parque Tecnológico da Paraíba;;0;83-2101 9025;Rua Emiliano Rosendo Silva, 115, Bodocongó;58431000
2304400;Nordeste;CE;Fortaleza;Parque Tecnológico do Nutec - PARTEC;;Operação;1998;Fundação Núcleo de Tecnologia Industrial - NUTEC;;0;85-3116 - 2444;Rua Prof. Rômulo  Proença S/N Campus Do Pici  Cx. Postal 6019;60451970
2611606;Nordeste;PE;Recife;PORTO DIGITAL;https://www.portodigital.org/home;Operação;2000;Núcleo de Gestão do Porto Digital;;0;81-3419.8014;Av. Cais do Apolo, 222 16º Andar - Bairro Do Recife;50030905
2800308;Nordeste;SE;Aracaju;Sergipe Parque Tecnológico - SergipeTec;http://sergipetec.org.br/;Operação;2003;Sergipe Parque Tecnológico;;0;79-3259.0191/0186/ 8818.0011;Av. Dr Carlos Rodrigues da Cruz S/N, Centro Administrativo Gov. Albano Franco - Capucho;49081190
2927408;Nordeste;BA;Salvador;Parque Tecnológico da Bahia;http://www.secti.ba.gov.br/parque/;Operação;2012;Secretaria de Ciência, Tecnologia e Inovação do Estado da Bahia (SECTI);1;0;(71) 3118 5858;R. Mundo, 121, Ed. Tecnocentro, Trobogy;41745715
3509502;Sudeste;SP;Campinas;Parque Tecnológico da Ciatec Campinas/SP;http://www.ciatec.org.br/;Operação;1985;Companhia de Desenvolvimento do Pólo de Alta Tecnologia de Campinas;0;0;19-3756-5433 ;RUA LAURO VANNUCCI Nº 1020;13087548
3304557;Sudeste;RJ;Rio de Janeiro;Polo BIO-RIO;http://www.biorio.org.br/;Operação;1988;Fundação Bio-Rio;0;0;(21) 3525-2400;Av. Carlos Chagas Filho, 791- Cidade Universitaria- Ilha Do Fundão;21941590
3170107;Sudeste;MG;Uberaba;Parque Tecnológico de Uberaba - PTU;http://www.parquetecnologicouberaba.com.br/;Operação;1996;prefeitura Municipal;1;0;34 3318 0506;Tecnópole Uberaba - Av. Dom Luis Maria Santana, 141;38061080
3304557;Sudeste;RJ;Rio de Janeiro;Parque Tecnológico Da UFRJ;https://www.parque.ufrj.br/;Operação;2003;Fundação Coppetec;0;0;21-3733 1969;R. Paulo Emidio Barbosa 485, Cidade universitária - Ilha do Fundão;21941907
2414902;Sudeste;MG;Viçosa;Parque Tecnológico de Viçosa - PqTV;http://www.tecnoparq.ufv.br/;Operação;2005;Universidade Federal de Viçosa;1;1;31-3899.3133;BR 120, KM 41 - Bairro Silvestre;36570000
3549904;Sudeste;SP;São José dos Campos;Parque Tecnológico UNIVAP;https://www.parquetecnologico.com.br/parque-tecnologico.html;Operação;2005;FVE - Fundação Valeparaibana de Ensino/ Univers. do Vale do Paraíba ;0;1;12-3947-1205/1005;Av. Shishima Hifumi, 2911;12244000
3549904;Sudeste;SP;São José dos Campos;Parque Tecnológico de São José dos Campos;http://www.pqtec.org.br/;Operação;2006;Prefeitura Municipal do Estado de São Paulo;1;0;12-3878-9504;Rodovia Presidente Dutra, Km 138;12247004
3548906;Sudeste;SP;São Carlos;Parque Tecnológico de São Carlos Science Park;http://parqtec.com.br/science-park/;Operação;2008;Fundação Parque de Alta Tecnologia São Carlos- Parqtec;0;0;16-3362.6262;Rodovia SP 215 - Luiz Augusto de Oliveira -  Km 148,8;13560970
3509502;Sudeste;SP;Campinas;Centro de P&D em Telecomunicações - CPqD;https://www.cpqd.com.br/home/;Operação;2008;Inova Unicamp;0;1;19-3705-6986/6230/997974568;Cidade Universitária Zeferino Vaz;13083970
3106200;Sudeste;MG;Belo Horizonte;Parque Tecnológico de Belo Horizonte - BH-Tec;http://bhtec.org.br/;Operação;2012;Parque Tecnológico de Belo Horizonte - BH-Tec;0;0;(31) 3401-1000;R. Prof. José Vieira de Mendonça, nº 770 - Bairro Engenho Nogueira;31310260
3552205;Sudeste;SP;Sorocaba;Parque Tecnológico de Sorocaba- PTS;https://parquetecsorocaba.com.br/;Operação;2012;Empresa Municipal Parque Tecnológico de Sorocaba - EMPTS;1;0;15 3316-2090/2091/6174/6162;Avenida Itavuvu, nº 11.777 - Sorocaba- SP;18075005
3538709;Sudeste;SP;Piracicaba;Parque Tecnológico de Piracicaba -- Engº Emílio Bruno Germek;http://www.parquetecnologico.piracicaba.sp.gov.br/index.php/o-parque;Operação;2013;Arranjo Produtivo Local do Álcool APLA;0;0;(19) 3423-9500;R. Cezira Giovanoni Moretti, nº 600;13414157
3132404;Sudeste;MG;Itajubá;Parque Científico e Tecnológico de Itajubá - ParCTec;;Operação;;Universidade Federal de Itajubá-UNIFEI;1;1;35-3629-1259/88/1108;Av. BPS, 1303;37500903
