"ANO";"Componente";"P_Explicado";"Base"
2007;"comp 59";0,113436213134639;1
2007;"comp 60";0,102936628054082;1
2007;"comp 61";0,100581035749028;1
2007;"comp 62";0,0955772886093689;1
2007;"comp 63";0,084716455925219;1
2007;"comp 64";0,0818071548536182;1
2007;"comp 65";0,074559472017629;1
2007;"comp 66";0,0718494461033622;1
2007;"comp 67";0,0659697128539687;1
2007;"comp 68";0,0604265434772653;1
2007;"comp 69";0,0572787672366563;1
2007;"comp 70";0,0497186100448451;1
2007;"comp 71";0,0472010025645677;1
2007;"comp 72";0,0458326048313934;1
2007;"comp 73";0,042456154043769;1
2007;"comp 74";0,0404439895647474;1
2007;"comp 75";0,0370626043423473;1
2007;"comp 76";0,0330714503082719;1
2007;"comp 77";0,0307440619319339;1
2007;"comp 78";0,029282577481098;1
2007;"comp 79";0,0250700010891879;1
2007;"comp 80";0,0218418802741166;1
2007;"comp 81";0,0199397489442693;1
2007;"comp 82";0,0176978428552134;1
2007;"comp 83";0,0157627236493838;1
2007;"comp 84";0,0129077952050705;1
2008;"comp 1";48,1786154418113;1
2008;"comp 2";6,07479732594268;1
2008;"comp 3";5,43515594497485;1
2008;"comp 4";3,21293550313626;1
2008;"comp 5";2,94100437724365;1
2008;"comp 6";2,33399269395681;1
2008;"comp 7";1,95540566807804;1
2008;"comp 8";1,62454782863975;1
2008;"comp 9";1,44740069551999;1
2008;"comp 10";1,42198798714826;1
2008;"comp 11";1,36608693910881;1
2008;"comp 12";1,29929606212249;1
2008;"comp 13";1,22766520629064;1
2008;"comp 14";1,18868757802518;1
2008;"comp 15";1,07640125420827;1
2008;"comp 16";1,06080754133074;1
2008;"comp 17";0,98567774390466;1
2008;"comp 18";0,907323730146843;1
2008;"comp 19";0,889279733924375;1
2008;"comp 20";0,844041553215189;1
2008;"comp 21";0,801833228772837;1
2008;"comp 22";0,72263503545839;1
2008;"comp 23";0,690713364271702;1
2008;"comp 24";0,667371837040579;1
2008;"comp 25";0,625570604159458;1
2008;"comp 26";0,566331829467453;1
2008;"comp 27";0,556761227215615;1
2008;"comp 28";0,529412750196505;1
2008;"comp 29";0,501095477530079;1
2008;"comp 30";0,458846605369406;1
2008;"comp 31";0,436469047716057;1
2008;"comp 32";0,426352439317847;1
2008;"comp 33";0,410377465043957;1
2008;"comp 34";0,396584732425241;1
2008;"comp 35";0,362762848722674;1
2008;"comp 36";0,346008618686179;1
2008;"comp 37";0,321472193361856;1
2008;"comp 38";0,315662815345538;1
2008;"comp 39";0,303511784928382;1
2008;"comp 40";0,30155210929819;1
2008;"comp 41";0,290812999450744;1
2008;"comp 42";0,270946079142452;1
2008;"comp 43";0,253691719174173;1
2008;"comp 44";0,251291720721245;1
2008;"comp 45";0,219992001574698;1
2008;"comp 46";0,209996419196526;1
2008;"comp 47";0,205292031754352;1
2008;"comp 48";0,191606357586574;1
2008;"comp 49";0,180690798533173;1
2008;"comp 50";0,173014567289502;1
2008;"comp 51";0,165367850116057;1
2008;"comp 52";0,154078031784661;1
2008;"comp 53";0,146045141594233;1
2008;"comp 54";0,137241049401493;1
2008;"comp 55";0,133803930503371;1
2008;"comp 56";0,127825811591614;1
2008;"comp 57";0,123096797264658;1
2008;"comp 58";0,114125651831774;1
2008;"comp 59";0,106837421013904;1
2008;"comp 60";0,103654603223331;1
2008;"comp 61";0,0992956253040497;1
2008;"comp 62";0,0914345802095212;1
2008;"comp 63";0,0870856485129234;1
2008;"comp 64";0,0849744964808608;1
2008;"comp 65";0,0805152604115664;1
2008;"comp 66";0,0789672258245553;1
2008;"comp 67";0,0720106484421304;1
2008;"comp 68";0,0665304416791873;1
2008;"comp 69";0,0598624769072367;1
2008;"comp 70";0,0572912003808619;1
2008;"comp 71";0,0507858568273392;1
2008;"comp 72";0,0476742984925259;1
2008;"comp 73";0,0446946529219873;1
2008;"comp 74";0,0389765894089657;1
2008;"comp 75";0,0380978172474857;1
2008;"comp 76";0,0347140413015189;1
2008;"comp 77";0,0330359789565191;1
2008;"comp 78";0,0317057276736266;1
2008;"comp 79";0,0285396856715307;1
2008;"comp 80";0,0259380650021957;1
2008;"comp 81";0,0233511064044097;1
2008;"comp 82";0,0188850230086177;1
2008;"comp 83";0,0176029282693023;1
2008;"comp 84";0,0161828188557821;1
2009;"comp 1";48,1793624078705;1
2009;"comp 2";6,65882901339026;1
2009;"comp 3";5,3348005813378;1
2009;"comp 4";3,40275397415315;1
2009;"comp 5";2,82447050844365;1
2009;"comp 6";2,43860129732227;1
2009;"comp 7";2,04387601014647;1
2009;"comp 8";1,87479848085795;1
2009;"comp 9";1,48127943464519;1
2009;"comp 10";1,35303784041154;1
2009;"comp 11";1,31784799701661;1
2009;"comp 12";1,27974999823641;1
2009;"comp 13";1,16960253035035;1
2009;"comp 14";1,13475533705135;1
2009;"comp 15";1,11720825277094;1
2009;"comp 16";0,992227518555368;1
2009;"comp 17";0,946325389530041;1
2009;"comp 18";0,888552597723492;1
2009;"comp 19";0,807208907399079;1
2009;"comp 20";0,785865331097371;1
2009;"comp 21";0,71262394122028;1
2009;"comp 22";0,659441586979207;1
2009;"comp 23";0,623953920369291;1
2009;"comp 24";0,611566767629426;1
2009;"comp 25";0,581456908299487;1
2009;"comp 26";0,549830285745998;1
2009;"comp 27";0,539054343757491;1
2009;"comp 28";0,497622798306413;1
2009;"comp 29";0,476399984639747;1
2009;"comp 30";0,427701742838865;1
2009;"comp 31";0,416055095446607;1
2009;"comp 32";0,401583757662076;1
2009;"comp 33";0,393276796389001;1
2009;"comp 34";0,378481464785418;1
2009;"comp 35";0,350363725597347;1
2009;"comp 36";0,34155011171954;1
2009;"comp 37";0,322655403635502;1
2009;"comp 38";0,310570066951665;1
2009;"comp 39";0,29588067989392;1
2009;"comp 40";0,293735030246306;1
2009;"comp 41";0,278381902665902;1
2009;"comp 42";0,253532554351941;1
2009;"comp 43";0,250247627064364;1
2009;"comp 44";0,2323748031957;1
2009;"comp 45";0,228615576951517;1
2009;"comp 46";0,209557018246049;1
2009;"comp 47";0,197564204542207;1
2009;"comp 48";0,191131004116758;1
2009;"comp 49";0,184348931841113;1
2009;"comp 50";0,183034218014823;1
2009;"comp 51";0,16403139942402;1
2009;"comp 52";0,157050216749709;1
2009;"comp 53";0,147370142923977;1
2009;"comp 54";0,143523992896342;1
2009;"comp 55";0,140554096442607;1
2009;"comp 56";0,129697527284831;1
2009;"comp 57";0,123974213488133;1
2009;"comp 58";0,115092250543052;1
2009;"comp 59";0,111658224007847;1
2009;"comp 60";0,0998902955533376;1
2009;"comp 61";0,0984367423864586;1
2009;"comp 62";0,095941281644107;1
2009;"comp 63";0,0890668935101261;1
2009;"comp 64";0,0833703547999734;1
2009;"comp 65";0,0806806324820464;1
2009;"comp 66";0,0746425485902076;1
2009;"comp 67";0,070839215162006;1
2009;"comp 68";0,0653167303433562;1
2009;"comp 69";0,0640629217861227;1
2009;"comp 70";0,0565508555350987;1
2009;"comp 71";0,0529402250251235;1
2009;"comp 72";0,0490813522093518;1
2009;"comp 73";0,0483504323415025;1
2009;"comp 74";0,0442716863487972;1
2009;"comp 75";0,0399703635917377;1
2009;"comp 76";0,0382105055320804;1
2009;"comp 77";0,0330386664217701;1
2009;"comp 78";0,0315673936028175;1
2009;"comp 79";0,0272235350176698;1
2009;"comp 80";0,0254872782688312;1
2009;"comp 81";0,0223008600772822;1
2009;"comp 82";0,0216677908511034;1
2009;"comp 83";0,0176915185805228;1
2009;"comp 84";0,0127021951643297;1
2010;"comp 1";48,1951324922349;1
2010;"comp 2";6,60595040809314;1
2010;"comp 3";5,42012970145889;1
2010;"comp 4";3,97154810151746;1
2010;"comp 5";2,92485385076419;1
2010;"comp 6";2,24561327004218;1
2010;"comp 7";1,97500485710027;1
2010;"comp 8";1,71112442985205;1
2010;"comp 9";1,52410809977125;1
2010;"comp 10";1,38381783411934;1
2010;"comp 11";1,33707696280326;1
2010;"comp 12";1,29143850108809;1
2010;"comp 13";1,2041259353838;1
2010;"comp 14";1,0869886997112;1
2010;"comp 15";1,00373581065629;1
2010;"comp 16";0,983006444159196;1
2010;"comp 17";0,891275287477585;1
2010;"comp 18";0,864164441342056;1
2010;"comp 19";0,842387807080031;1
2010;"comp 20";0,750690598844385;1
2010;"comp 21";0,705238046725076;1
2010;"comp 22";0,675811359584348;1
2010;"comp 23";0,644071006528741;1
2010;"comp 24";0,602296911767638;1
2010;"comp 25";0,5746405322723;1
2010;"comp 26";0,555437003094064;1
2010;"comp 27";0,529039472870063;1
2010;"comp 28";0,468474077920569;1
2010;"comp 29";0,443470250361577;1
2010;"comp 30";0,434203996655803;1
2010;"comp 31";0,422399779625341;1
2010;"comp 32";0,412604835989043;1
2010;"comp 33";0,386593046249306;1
2010;"comp 34";0,364451891501411;1
2010;"comp 35";0,34481387632907;1
2010;"comp 36";0,333890529507784;1
2010;"comp 37";0,327300861454449;1
2010;"comp 38";0,305970630268685;1
2010;"comp 39";0,304725492754835;1
2010;"comp 40";0,285247928518897;1
2010;"comp 41";0,262730944228752;1
2010;"comp 42";0,253296503962714;1
2010;"comp 43";0,247755486251357;1
2010;"comp 44";0,226442547951626;1
2010;"comp 45";0,217953924424366;1
2010;"comp 46";0,211740061674467;1
2010;"comp 47";0,200098899651479;1
2010;"comp 48";0,187598027006931;1
2010;"comp 49";0,183074189276462;1
2010;"comp 50";0,175922282145088;1
2010;"comp 51";0,172209195657796;1
2010;"comp 52";0,154345525271088;1
2010;"comp 53";0,147976828725342;1
2010;"comp 54";0,141594276693444;1
2010;"comp 55";0,13086049438108;1
2010;"comp 56";0,127126579145284;1
